match_id,table_tier,wager_amount,break_type,outcome,net_coins_change,running_bankroll
MTH-0001,London Pub,50,Power Break,Loss,-50,49950
MTH-0002,London Pub,50,Soft Break,Loss,-50,49900
MTH-0003,Moscow Winter,500,Power Break,Win,500,50400
MTH-0004,Sydney Marina,250,Power Break,Loss,-250,50150
MTH-0005,Sydney Marina,250,Second-Ball Break,Loss,-250,49900
MTH-0006,Sydney Marina,250,Power Break,Loss,-250,49650
MTH-0007,London Pub,50,Dry Break (No Pot),Win,50,49700
MTH-0008,Las Vegas,10000,Power Break,Win,10000,59700
MTH-0009,London Pub,50,Power Break,Loss,-50,59650
MTH-0010,Las Vegas,10000,Second-Ball Break,Win,10000,69650
MTH-0011,Tokyo Warrior,2500,Second-Ball Break,Win,2500,72150
MTH-0012,London Pub,50,Power Break,Win,50,72200
MTH-0013,London Pub,50,Second-Ball Break,Loss,-50,72150
MTH-0014,London Pub,50,Power Break,Loss,-50,72100
MTH-0015,Sydney Marina,250,Second-Ball Break,Win,250,72350
MTH-0016,Sydney Marina,250,Second-Ball Break,Win,250,72600
MTH-0017,Las Vegas,10000,Power Break,Loss,-10000,62600
MTH-0018,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,52600
MTH-0019,London Pub,50,Power Break,Win,50,52650
MTH-0020,Las Vegas,10000,Second-Ball Break,Win,10000,62650
MTH-0021,Sydney Marina,250,Power Break,Win,250,62900
MTH-0022,Las Vegas,10000,Power Break,Loss,-10000,52900
MTH-0023,Tokyo Warrior,2500,Power Break,Loss,-2500,50400
MTH-0024,Sydney Marina,250,Power Break,Loss,-250,50150
MTH-0025,Tokyo Warrior,2500,Second-Ball Break,Win,2500,52650
MTH-0026,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,42650
MTH-0027,Moscow Winter,500,Dry Break (No Pot),Loss,-500,42150
MTH-0028,London Pub,50,Second-Ball Break,Loss,-50,42100
MTH-0029,Sydney Marina,250,Power Break,Win,250,42350
MTH-0030,Tokyo Warrior,2500,Power Break,Win,2500,44850
MTH-0031,Moscow Winter,500,Power Break,Win,500,45350
MTH-0032,Moscow Winter,500,Dry Break (No Pot),Loss,-500,44850
MTH-0033,Sydney Marina,250,Power Break,Loss,-250,44600
MTH-0034,Sydney Marina,250,Power Break,Loss,-250,44350
MTH-0035,Moscow Winter,500,Power Break,Loss,-500,43850
MTH-0036,London Pub,50,Soft Break,Win,50,43900
MTH-0037,London Pub,50,Power Break,Loss,-50,43850
MTH-0038,Tokyo Warrior,2500,Soft Break,Loss,-2500,41350
MTH-0039,London Pub,50,Soft Break,Win,50,41400
MTH-0040,Moscow Winter,500,Power Break,Win,500,41900
MTH-0041,Moscow Winter,500,Dry Break (No Pot),Loss,-500,41400
MTH-0042,Las Vegas,10000,Power Break,Win,10000,51400
MTH-0043,Moscow Winter,500,Power Break,Win,500,51900
MTH-0044,London Pub,50,Soft Break,Loss,-50,51850
MTH-0045,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,49350
MTH-0046,Las Vegas,10000,Power Break,Loss,-10000,39350
MTH-0047,London Pub,50,Soft Break,Loss,-50,39300
MTH-0048,Tokyo Warrior,2500,Soft Break,Loss,-2500,36800
MTH-0049,London Pub,50,Second-Ball Break,Win,50,36850
MTH-0050,Las Vegas,10000,Power Break,Win,10000,46850
MTH-0051,Moscow Winter,500,Power Break,Loss,-500,46350
MTH-0052,Las Vegas,10000,Power Break,Loss,-10000,36350
MTH-0053,Moscow Winter,500,Dry Break (No Pot),Win,500,36850
MTH-0054,Las Vegas,10000,Second-Ball Break,Loss,-10000,26850
MTH-0055,Sydney Marina,250,Power Break,Win,250,27100
MTH-0056,London Pub,50,Power Break,Win,50,27150
MTH-0057,London Pub,50,Dry Break (No Pot),Loss,-50,27100
MTH-0058,Sydney Marina,250,Second-Ball Break,Loss,-250,26850
MTH-0059,Moscow Winter,500,Dry Break (No Pot),Win,500,27350
MTH-0060,London Pub,50,Dry Break (No Pot),Loss,-50,27300
MTH-0061,Sydney Marina,250,Dry Break (No Pot),Loss,-250,27050
MTH-0062,London Pub,50,Power Break,Win,50,27100
MTH-0063,Tokyo Warrior,2500,Power Break,Win,2500,29600
MTH-0064,Moscow Winter,500,Dry Break (No Pot),Loss,-500,29100
MTH-0065,Tokyo Warrior,2500,Power Break,Loss,-2500,26600
MTH-0066,Moscow Winter,500,Second-Ball Break,Win,500,27100
MTH-0067,Sydney Marina,250,Power Break,Win,250,27350
MTH-0068,Moscow Winter,500,Dry Break (No Pot),Loss,-500,26850
MTH-0069,Moscow Winter,500,Second-Ball Break,Loss,-500,26350
MTH-0070,Sydney Marina,250,Power Break,Loss,-250,26100
MTH-0071,Moscow Winter,500,Dry Break (No Pot),Win,500,26600
MTH-0072,London Pub,50,Second-Ball Break,Win,50,26650
MTH-0073,Las Vegas,10000,Power Break,Win,10000,36650
MTH-0074,Sydney Marina,250,Second-Ball Break,Win,250,36900
MTH-0075,Las Vegas,10000,Power Break,Win,10000,46900
MTH-0076,Sydney Marina,250,Dry Break (No Pot),Win,250,47150
MTH-0077,Sydney Marina,250,Power Break,Win,250,47400
MTH-0078,Tokyo Warrior,2500,Dry Break (No Pot),Win,2500,49900
MTH-0079,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,47400
MTH-0080,Moscow Winter,500,Power Break,Loss,-500,46900
MTH-0081,Las Vegas,10000,Power Break,Loss,-10000,36900
MTH-0082,Sydney Marina,250,Second-Ball Break,Win,250,37150
MTH-0083,Moscow Winter,500,Power Break,Loss,-500,36650
MTH-0084,London Pub,50,Power Break,Win,50,36700
MTH-0085,Sydney Marina,250,Power Break,Loss,-250,36450
MTH-0086,London Pub,50,Second-Ball Break,Win,50,36500
MTH-0087,Moscow Winter,500,Second-Ball Break,Win,500,37000
MTH-0088,Tokyo Warrior,2500,Second-Ball Break,Win,2500,39500
MTH-0089,Moscow Winter,500,Second-Ball Break,Win,500,40000
MTH-0090,London Pub,50,Dry Break (No Pot),Win,50,40050
MTH-0091,Sydney Marina,250,Power Break,Win,250,40300
MTH-0092,Las Vegas,10000,Dry Break (No Pot),Loss,-10000,30300
MTH-0093,Moscow Winter,500,Power Break,Loss,-500,29800
MTH-0094,Sydney Marina,250,Dry Break (No Pot),Loss,-250,29550
MTH-0095,Tokyo Warrior,2500,Second-Ball Break,Win,2500,32050
MTH-0096,Tokyo Warrior,2500,Power Break,Loss,-2500,29550
MTH-0097,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,27050
MTH-0098,Sydney Marina,250,Power Break,Win,250,27300
MTH-0099,Moscow Winter,500,Soft Break,Loss,-500,26800
MTH-0100,Sydney Marina,250,Dry Break (No Pot),Loss,-250,26550
MTH-0101,Sydney Marina,250,Second-Ball Break,Win,250,26800
MTH-0102,Las Vegas,10000,Power Break,Loss,-10000,16800
MTH-0103,Las Vegas,10000,Second-Ball Break,Win,10000,26800
MTH-0104,Moscow Winter,500,Power Break,Loss,-500,26300
MTH-0105,Las Vegas,10000,Power Break,Win,10000,36300
MTH-0106,Tokyo Warrior,2500,Second-Ball Break,Loss,-2500,33800
MTH-0107,Las Vegas,10000,Second-Ball Break,Win,10000,43800
MTH-0108,Tokyo Warrior,2500,Soft Break,Win,2500,46300
MTH-0109,Moscow Winter,500,Power Break,Loss,-500,45800
MTH-0110,Sydney Marina,250,Second-Ball Break,Loss,-250,45550
MTH-0111,Sydney Marina,250,Second-Ball Break,Win,250,45800
MTH-0112,Las Vegas,10000,Power Break,Win,10000,55800
MTH-0113,Tokyo Warrior,2500,Power Break,Win,2500,58300
MTH-0114,London Pub,50,Dry Break (No Pot),Loss,-50,58250
MTH-0115,London Pub,50,Dry Break (No Pot),Loss,-50,58200
MTH-0116,London Pub,50,Soft Break,Loss,-50,58150
MTH-0117,Sydney Marina,250,Second-Ball Break,Win,250,58400
MTH-0118,Sydney Marina,250,Power Break,Loss,-250,58150
MTH-0119,Tokyo Warrior,2500,Power Break,Win,2500,60650
MTH-0120,Las Vegas,10000,Second-Ball Break,Win,10000,70650
MTH-0121,London Pub,50,Dry Break (No Pot),Loss,-50,70600
MTH-0122,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,68100
MTH-0123,Tokyo Warrior,2500,Power Break,Loss,-2500,65600
MTH-0124,Las Vegas,10000,Second-Ball Break,Loss,-10000,55600
MTH-0125,Tokyo Warrior,2500,Dry Break (No Pot),Loss,-2500,53100
MTH-0126,Las Vegas,10000,Power Break,Win,10000,63100
MTH-0127,Moscow Winter,500,Dry Break (No Pot),Loss,-500,62600
MTH-0128,Las Vegas,10000,Power Break,Loss,-10000,52600
MTH-0129,London Pub,50,Dry Break (No Pot),Loss,-50,52550
MTH-0130,London Pub,50,Second-Ball Break,Win,50,52600
MTH-0131,Las Vegas,10000,Second-Ball Break,Loss,-10000,42600
MTH-0132,Moscow Winter,500,Power Break,Loss,-500,42100
MTH-0133,Moscow Winter,500,Dry Break (No Pot),Loss,-500,41600
MTH-0134,London Pub,50,Second-Ball Break,Loss,-50,41550
MTH-0135,Moscow Winter,500,Power Break,Win,500,42050
